지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,서울,2025-01-01,2.6,-2.5,8.9,,,,,,,2.2,64.3
108,서울,2025-01-02,.5,-2.9,6,,,,,,,2.1,48.8
108,서울,2025-01-03,-1.1,-5.1,3.2,.5,,,,,0,2.2,52
108,서울,2025-01-04,-.1,-5.4,5.7,,,,,,,1.7,49.6
108,서울,2025-01-05,1.2,-.7,2.5,9,,,,,6.7,2.5,85
108,서울,2025-01-06,1,-3,3.4,3.03,,,,,3,2.8,75.6
108,서울,2025-01-07,-2.6,-5.7,1.5,1,,,,,.1,2.7,53.5
108,서울,2025-01-08,-3.4,-6.1,.2,1.25,,,,,0,2.7,55.1
108,서울,2025-01-09,-9.7,-11.6,-6.1,.25,,,,,0,4.2,38.4
108,서울,2025-01-10,-7.3,-12.2,-1.7,,,,,,,1.6,48
108,서울,2025-01-11,-5.1,-9.5,.4,,,,,,,1.7,57.4
108,서울,2025-01-12,-3.4,-8.2,2.5,,,,,,,1.8,59.9
108,서울,2025-01-13,-.4,-5.6,4.1,7.42,,,,,1.3,1.7,76.9
108,서울,2025-01-14,2.3,-1.7,5.2,1.58,,,,,.1,2.3,72
108,서울,2025-01-15,-3.5,-5.3,-.5,,,,,,,2.9,40.8
108,서울,2025-01-16,-.5,-4.9,2.8,2,,,,,0,2,65.1
108,서울,2025-01-17,-.5,-4.9,5.6,,,,,,,1.8,62.4
108,서울,2025-01-18,1,-4,7.5,,,,,,,1.6,54.1
108,서울,2025-01-19,3.8,-1.2,9,,,,,,,1.8,65
108,서울,2025-01-20,3.9,.9,7.5,.17,,,,,0,1.7,73.1
108,서울,2025-01-21,2.4,-1,6.3,,,,,,,1.6,79.8
108,서울,2025-01-22,3.6,.5,7.7,,,,,,,1.9,70.3
108,서울,2025-01-23,2,-2.4,7.7,,,,,,,1.6,54.3
108,서울,2025-01-24,3.1,-2.7,10.6,,,,,,,1.5,45.9
108,서울,2025-01-25,5.2,1.2,11.4,,,,,,,3.1,52.8
108,서울,2025-01-26,4.6,1.8,7.5,,,,,,,2.8,50.5
108,서울,2025-01-27,.2,-2.7,5.1,22.35,,,,,5.6,3.5,77.9
